session_id,round,question_id,asked_question_id,correctness,depth,clarity,practicality,tradeoffs,overall_score,provenance,missing_points
6,2,29,34,0.765,0.685,0.844,0.85,0.798,0.779,rule,"[""监控与回滚方案"", ""异常场景处理""]"
6,3,164,35,0.552,0.603,0.562,0.551,0.54,0.5639,rule,"[""生产环境验证"", ""核心概念边界"", ""一致性权衡""]"
6,4,168,36,0.602,0.509,0.605,0.693,0.634,0.6009,rule,"[""性能瓶颈分析""]"
6,5,28,37,0.812,0.619,0.721,0.703,0.694,0.7183,hybrid,"[""性能瓶颈分析"", ""监控与回滚方案""]"
7,1,189,38,0.251,0.361,0.224,0.41,0.317,0.3074,rule,"[""一致性权衡"", ""异常场景处理"", ""核心概念边界""]"
7,2,191,39,0.548,0.572,0.535,0.498,0.625,0.553,rule,"[""核心概念边界"", ""异常场景处理""]"
7,3,141,40,0.341,0.489,0.376,0.34,0.444,0.3942,hybrid,"[""监控与回滚方案"", ""生产环境验证"", ""性能瓶颈分析""]"
7,4,29,41,0.478,0.429,0.509,0.527,0.518,0.4857,hybrid,"[""性能瓶颈分析"", ""监控与回滚方案"", ""生产环境验证""]"
7,5,168,42,0.429,0.368,0.408,0.338,0.342,0.3845,rule,"[""核心概念边界"", ""一致性权衡""]"
7,6,10,43,0.523,0.522,0.564,0.599,0.549,0.5459,rule,"[""一致性权衡"", ""核心概念边界"", ""性能瓶颈分析""]"
7,7,1,44,0.574,0.582,0.633,0.584,0.527,0.5814,llm,"[""监控与回滚方案""]"
8,1,145,45,0.155,0.14,0.123,0.197,0.25,0.1658,hybrid,"[""生产环境验证"", ""一致性权衡"", ""监控与回滚方案""]"
8,2,156,46,0.463,0.454,0.478,0.494,0.474,0.4704,rule,"[""性能瓶颈分析"", ""异常场景处理""]"
8,3,158,47,0.54,0.457,0.359,0.448,0.462,0.4643,rule,"[""监控与回滚方案"", ""核心概念边界""]"
8,4,57,48,0.448,0.502,0.488,0.458,0.419,0.4652,rule,"[""异常场景处理"", ""核心概念边界""]"
8,5,65,49,0.565,0.433,0.457,0.567,0.543,0.5137,rule,"[""监控与回滚方案"", ""一致性权衡""]"
8,6,171,50,0.729,0.752,0.661,0.657,0.698,0.7064,rule,"[""一致性权衡"", ""核心概念边界""]"
9,1,73,51,0.493,0.647,0.432,0.489,0.63,0.5352,rule,"[""生产环境验证"", ""核心概念边界""]"
9,2,51,52,0.598,0.492,0.538,0.658,0.486,0.5589,rule,"[""异常场景处理"", ""生产环境验证"", ""一致性权衡""]"
9,3,81,53,0.609,0.337,0.429,0.456,0.333,0.4538,rule,"[""性能瓶颈分析"", ""生产环境验证""]"
9,4,70,54,0.455,0.345,0.306,0.485,0.418,0.4046,rule,"[""一致性权衡"", ""监控与回滚方案""]"
9,5,71,55,0.531,0.514,0.41,0.461,0.519,0.4931,rule,"[""一致性权衡"", ""核心概念边界"", ""监控与回滚方案""]"
9,6,102,56,0.566,0.537,0.514,0.513,0.496,0.5324,rule,"[""监控与回滚方案"", ""一致性权衡"", ""性能瓶颈分析""]"
9,7,53,57,0.636,0.543,0.474,0.678,0.637,0.594,rule,"[""一致性权衡"", ""核心概念边界""]"
10,1,185,58,0.416,0.49,0.398,0.409,0.409,0.4279,hybrid,"[""生产环境验证"", ""监控与回滚方案"", ""异常场景处理""]"
10,2,188,59,0.535,0.422,0.56,0.454,0.523,0.4979,hybrid,"[""异常场景处理"", ""监控与回滚方案"", ""生产环境验证""]"
10,3,64,60,0.566,0.6,0.584,0.552,0.54,0.5709,llm,"[""监控与回滚方案"", ""核心概念边界""]"
10,4,177,61,0.716,0.721,0.606,0.734,0.812,0.7141,rule,"[""一致性权衡""]"
10,5,169,62,0.614,0.695,0.753,0.689,0.638,0.6722,rule,"[""性能瓶颈分析""]"
10,6,63,63,0.546,0.588,0.546,0.544,0.533,0.5538,rule,"[""监控与回滚方案"", ""生产环境验证""]"
10,7,139,64,0.573,0.522,0.564,0.442,0.483,0.5258,rule,"[""监控与回滚方案"", ""异常场景处理""]"
10,8,144,65,0.627,0.755,0.724,0.614,0.657,0.6746,rule,"[""监控与回滚方案"", ""一致性权衡""]"
11,1,174,66,0.511,0.553,0.502,0.476,0.497,0.5116,rule,"[""一致性权衡"", ""生产环境验证""]"
11,2,156,67,0.658,0.637,0.648,0.731,0.639,0.6611,rule,"[""生产环境验证""]"
11,3,155,68,0.508,0.594,0.65,0.488,0.529,0.5512,llm,"[""一致性权衡"", ""核心概念边界""]"
11,4,175,69,0.499,0.539,0.574,0.675,0.655,0.5709,rule,"[""一致性权衡"", ""异常场景处理"", ""性能瓶颈分析""]"
12,1,169,70,0.713,0.665,0.703,0.638,0.623,0.6758,llm,"[""核心概念边界""]"
12,2,187,71,0.363,0.433,0.51,0.459,0.399,0.4252,rule,"[""一致性权衡"", ""监控与回滚方案""]"
12,3,156,72,0.83,0.768,0.772,0.751,0.872,0.7978,rule,[]
12,4,103,73,0.507,0.44,0.446,0.477,0.526,0.4785,rule,"[""生产环境验证"", ""性能瓶颈分析""]"
12,5,59,74,0.724,0.67,0.604,0.641,0.673,0.6703,rule,"[""一致性权衡""]"
12,6,183,75,0.767,0.706,0.68,0.717,0.595,0.7073,rule,"[""生产环境验证"", ""核心概念边界""]"
13,1,149,76,0.796,0.813,0.869,0.711,0.724,0.7884,llm,[]
13,2,187,77,0.524,0.565,0.669,0.492,0.613,0.5643,rule,"[""核心概念边界"", ""性能瓶颈分析"", ""监控与回滚方案""]"
13,3,85,78,0.692,0.702,0.716,0.778,0.707,0.7149,llm,"[""一致性权衡""]"
13,4,81,79,0.711,0.704,0.703,0.709,0.611,0.6945,rule,"[""一致性权衡""]"
13,5,108,80,0.681,0.751,0.753,0.751,0.761,0.7318,llm,"[""异常场景处理"", ""性能瓶颈分析""]"
13,6,101,81,0.622,0.66,0.691,0.722,0.647,0.6628,llm,"[""一致性权衡""]"
14,1,32,82,0.512,0.467,0.521,0.428,0.414,0.4761,llm,"[""生产环境验证"", ""性能瓶颈分析"", ""核心概念边界""]"
14,2,163,83,0.545,0.606,0.616,0.582,0.522,0.5744,rule,"[""一致性权衡"", ""异常场景处理"", ""监控与回滚方案""]"
14,3,104,84,0.648,0.643,0.701,0.75,0.72,0.6824,llm,"[""监控与回滚方案"", ""核心概念边界""]"
14,4,139,85,0.674,0.557,0.535,0.511,0.487,0.5714,rule,"[""监控与回滚方案"", ""异常场景处理""]"
14,5,191,86,0.673,0.661,0.713,0.754,0.653,0.6882,rule,"[""监控与回滚方案"", ""异常场景处理""]"
14,6,57,87,0.719,0.73,0.758,0.722,0.791,0.7379,rule,"[""监控与回滚方案""]"
14,7,163,88,0.79,0.697,0.678,0.676,0.685,0.7165,hybrid,"[""性能瓶颈分析"", ""一致性权衡""]"
15,1,150,89,0.529,0.658,0.503,0.427,0.537,0.5378,rule,"[""核心概念边界"", ""生产环境验证"", ""异常场景处理""]"
15,2,99,90,0.691,0.661,0.606,0.623,0.61,0.6476,rule,"[""性能瓶颈分析"", ""生产环境验证""]"
15,3,147,91,0.676,0.616,0.763,0.704,0.693,0.684,rule,"[""生产环境验证""]"
15,4,192,92,0.618,0.475,0.59,0.577,0.576,0.568,rule,"[""异常场景处理"", ""生产环境验证"", ""性能瓶颈分析""]"
15,5,70,93,0.667,0.759,0.699,0.743,0.784,0.7217,rule,"[""核心概念边界"", ""一致性权衡""]"
15,6,105,94,0.627,0.648,0.69,0.62,0.614,0.6394,rule,"[""生产环境验证""]"
15,7,150,95,0.661,0.672,0.723,0.649,0.662,0.6724,llm,"[""监控与回滚方案"", ""一致性权衡""]"
16,1,160,96,0.44,0.264,0.366,0.415,0.358,0.3721,llm,"[""一致性权衡"", ""监控与回滚方案"", ""生产环境验证""]"
16,2,62,97,0.322,0.359,0.373,0.472,0.409,0.376,llm,"[""异常场景处理"", ""生产环境验证""]"
16,3,171,98,0.535,0.43,0.443,0.524,0.472,0.485,rule,"[""性能瓶颈分析"", ""监控与回滚方案"", ""核心概念边界""]"
16,4,183,99,0.546,0.606,0.469,0.592,0.546,0.5548,hybrid,"[""生产环境验证"", ""性能瓶颈分析""]"
16,5,167,100,0.465,0.442,0.412,0.53,0.411,0.4547,rule,"[""监控与回滚方案"", ""一致性权衡""]"
16,6,154,101,0.611,0.669,0.574,0.655,0.533,0.6157,llm,"[""异常场景处理""]"
16,7,186,102,0.502,0.545,0.486,0.411,0.492,0.4924,llm,"[""生产环境验证"", ""核心概念边界""]"
17,1,188,103,0.435,0.45,0.494,0.524,0.537,0.4767,hybrid,"[""一致性权衡"", ""监控与回滚方案""]"
17,2,178,104,0.569,0.528,0.582,0.542,0.468,0.5443,rule,"[""一致性权衡"", ""核心概念边界"", ""生产环境验证""]"
17,3,170,105,0.425,0.462,0.477,0.442,0.402,0.4423,llm,"[""生产环境验证"", ""异常场景处理"", ""监控与回滚方案""]"
17,4,177,106,0.644,0.562,0.613,0.62,0.627,0.6136,rule,"[""生产环境验证"", ""核心概念边界""]"
17,5,62,107,0.476,0.524,0.424,0.411,0.434,0.4615,rule,"[""性能瓶颈分析"", ""异常场景处理"", ""一致性权衡""]"
17,6,169,108,0.642,0.58,0.642,0.689,0.599,0.6304,rule,"[""性能瓶颈分析"", ""异常场景处理""]"
18,1,38,109,0.403,0.372,0.464,0.425,0.401,0.4096,rule,"[""核心概念边界"", ""一致性权衡"", ""生产环境验证""]"
18,2,46,110,0.494,0.472,0.515,0.478,0.506,0.4913,llm,"[""生产环境验证"", ""性能瓶颈分析"", ""监控与回滚方案""]"
18,3,58,111,0.393,0.376,0.413,0.345,0.435,0.3896,rule,"[""监控与回滚方案"", ""异常场景处理"", ""一致性权衡""]"
18,4,104,112,0.512,0.541,0.572,0.527,0.494,0.5292,rule,"[""异常场景处理"", ""一致性权衡"", ""生产环境验证""]"
18,5,41,113,0.316,0.262,0.372,0.468,0.326,0.3402,rule,"[""异常场景处理"", ""核心概念边界"", ""一致性权衡""]"
18,6,45,114,0.482,0.396,0.512,0.503,0.366,0.4562,rule,"[""核心概念边界"", ""性能瓶颈分析""]"
19,1,189,115,0.397,0.416,0.524,0.482,0.456,0.4451,rule,"[""监控与回滚方案"", ""性能瓶颈分析""]"
19,2,169,116,0.563,0.336,0.454,0.409,0.404,0.4455,rule,"[""性能瓶颈分析"", ""监控与回滚方案"", ""核心概念边界""]"
19,3,153,117,0.426,0.482,0.588,0.536,0.554,0.5017,llm,"[""生产环境验证"", ""性能瓶颈分析"", ""一致性权衡""]"
19,4,171,118,0.448,0.457,0.578,0.559,0.551,0.5044,llm,"[""一致性权衡"", ""异常场景处理""]"
19,5,151,119,0.369,0.322,0.544,0.33,0.306,0.3732,llm,"[""一致性权衡"", ""异常场景处理""]"
19,6,175,120,0.671,0.561,0.678,0.577,0.553,0.6155,llm,"[""一致性权衡""]"
20,1,163,121,0.455,0.427,0.412,0.389,0.367,0.4183,rule,"[""核心概念边界"", ""一致性权衡"", ""监控与回滚方案""]"
20,2,7,122,0.433,0.417,0.568,0.503,0.535,0.4774,rule,"[""异常场景处理"", ""一致性权衡""]"
20,3,5,123,0.661,0.584,0.641,0.602,0.605,0.6225,rule,"[""异常场景处理""]"
20,4,26,124,0.626,0.806,0.715,0.674,0.765,0.7088,rule,"[""监控与回滚方案"", ""一致性权衡""]"
20,5,93,125,0.657,0.624,0.586,0.594,0.664,0.6278,rule,"[""监控与回滚方案""]"
21,1,139,126,0.303,0.308,0.374,0.342,0.334,0.3271,llm,"[""异常场景处理"", ""核心概念边界"", ""性能瓶颈分析""]"
21,2,143,127,0.532,0.421,0.463,0.488,0.443,0.4756,rule,"[""生产环境验证"", ""异常场景处理""]"
21,3,176,128,0.628,0.609,0.729,0.517,0.628,0.6218,llm,"[""生产环境验证"", ""核心概念边界""]"
21,4,58,129,0.52,0.457,0.567,0.601,0.525,0.528,rule,"[""监控与回滚方案"", ""异常场景处理""]"
21,5,188,130,0.515,0.571,0.557,0.647,0.625,0.572,rule,"[""性能瓶颈分析"", ""一致性权衡"", ""生产环境验证""]"
21,6,171,131,0.666,0.664,0.684,0.697,0.552,0.659,llm,"[""一致性权衡""]"
21,7,160,132,0.545,0.533,0.599,0.625,0.546,0.5649,rule,"[""一致性权衡"", ""异常场景处理"", ""监控与回滚方案""]"
21,8,167,133,0.584,0.423,0.53,0.472,0.497,0.5073,rule,"[""生产环境验证"", ""监控与回滚方案""]"
22,1,145,134,0.674,0.748,0.775,0.643,0.734,0.7107,rule,"[""核心概念边界""]"
22,2,190,135,0.646,0.699,0.733,0.672,0.665,0.6797,llm,"[""核心概念边界""]"
22,3,148,136,0.718,0.612,0.74,0.679,0.737,0.6934,hybrid,"[""性能瓶颈分析""]"
22,4,140,137,0.695,0.676,0.765,0.743,0.765,0.7199,hybrid,"[""核心概念边界""]"
22,5,187,138,0.783,0.706,0.71,0.751,0.751,0.7432,rule,"[""异常场景处理""]"
22,6,145,139,0.795,0.827,0.814,0.72,0.72,0.7832,llm,"[""性能瓶颈分析""]"
23,1,145,140,0.832,0.761,0.893,0.727,0.781,0.8013,rule,"[""生产环境验证""]"
23,2,192,141,0.682,0.686,0.799,0.686,0.673,0.7023,llm,"[""异常场景处理""]"
23,3,103,142,0.849,0.696,0.827,0.741,0.734,0.7767,rule,"[""一致性权衡""]"
23,4,190,143,0.576,0.575,0.611,0.622,0.626,0.5961,hybrid,"[""核心概念边界""]"
23,5,152,144,0.799,0.667,0.811,0.77,0.71,0.7543,rule,"[""生产环境验证""]"
23,6,184,145,0.825,0.788,0.818,0.733,0.712,0.785,llm,[]
23,7,150,146,0.865,0.856,0.942,0.822,0.853,0.8672,rule,"[""核心概念边界""]"
24,1,100,147,0.68,0.593,0.762,0.644,0.617,0.6598,rule,"[""异常场景处理"", ""生产环境验证""]"
24,2,83,148,0.867,0.872,0.882,0.912,0.971,0.892,llm,[]
24,3,148,149,0.704,0.714,0.848,0.753,0.737,0.7435,rule,"[""监控与回滚方案""]"
24,4,190,150,0.675,0.649,0.701,0.71,0.69,0.6812,rule,"[""性能瓶颈分析""]"
24,5,84,151,0.788,0.754,0.903,0.756,0.756,0.7901,rule,"[""一致性权衡""]"
24,6,103,152,0.887,0.802,0.965,0.793,0.787,0.8518,rule,"[""生产环境验证""]"
24,7,90,153,0.699,0.699,0.874,0.771,0.746,0.7472,rule,"[""异常场景处理"", ""核心概念边界""]"
24,8,77,154,0.581,0.625,0.724,0.587,0.53,0.6098,rule,"[""异常场景处理""]"
25,1,167,155,0.71,0.579,0.667,0.6,0.577,0.6366,rule,"[""性能瓶颈分析""]"
25,2,107,156,0.78,0.738,0.84,0.848,0.796,0.7939,rule,"[""性能瓶颈分析""]"
25,3,147,157,0.64,0.58,0.696,0.719,0.704,0.6575,rule,"[""生产环境验证"", ""核心概念边界""]"
25,4,10,158,0.75,0.876,0.832,0.936,0.909,0.8454,llm,"[""生产环境验证""]"
25,5,34,159,0.832,0.507,0.532,0.708,0.582,0.6526,llm,"[""监控与回滚方案"", ""性能瓶颈分析""]"
25,6,50,160,0.68,0.768,0.599,0.798,0.764,0.7171,rule,"[""监控与回滚方案""]"
26,1,184,161,0.482,0.505,0.442,0.486,0.439,0.4755,rule,"[""生产环境验证"", ""性能瓶颈分析""]"
26,2,175,162,0.608,0.687,0.669,0.619,0.631,0.6415,rule,"[""核心概念边界""]"
26,3,178,163,0.665,0.671,0.68,0.61,0.694,0.6635,rule,"[""核心概念边界""]"
26,4,191,164,0.667,0.778,0.746,0.788,0.743,0.7364,rule,"[""一致性权衡"", ""生产环境验证""]"
26,5,156,165,0.832,0.733,0.697,0.755,0.761,0.764,rule,"[""生产环境验证""]"
26,6,180,166,0.592,0.783,0.626,0.711,0.767,0.6846,rule,"[""生产环境验证""]"
26,7,143,167,0.586,0.625,0.645,0.739,0.674,0.6425,rule,"[""异常场景处理""]"
27,1,41,168,0.744,0.646,0.766,0.797,0.615,0.7174,rule,"[""生产环境验证"", ""一致性权衡""]"
27,2,19,169,0.646,0.62,0.69,0.579,0.589,0.6289,rule,"[""一致性权衡"", ""性能瓶颈分析""]"
27,3,37,170,0.666,0.726,0.662,0.655,0.709,0.6828,rule,"[""性能瓶颈分析"", ""监控与回滚方案""]"
27,4,18,171,0.576,0.667,0.551,0.569,0.64,0.5999,llm,"[""生产环境验证""]"
27,5,94,172,0.675,0.547,0.598,0.621,0.549,0.6067,rule,"[""异常场景处理"", ""监控与回滚方案""]"
27,6,103,173,0.686,0.765,0.781,0.71,0.689,0.725,rule,"[""生产环境验证""]"
27,7,58,174,0.654,0.581,0.645,0.713,0.617,0.641,rule,"[""异常场景处理""]"
28,1,167,175,0.646,0.623,0.797,0.66,0.704,0.6762,llm,"[""异常场景处理"", ""监控与回滚方案""]"
28,2,55,176,0.583,0.52,0.632,0.521,0.615,0.5707,llm,"[""一致性权衡"", ""核心概念边界"", ""性能瓶颈分析""]"
28,3,179,177,0.678,0.676,0.76,0.703,0.723,0.7014,rule,"[""一致性权衡"", ""生产环境验证""]"
28,4,58,178,0.569,0.622,0.574,0.532,0.642,0.585,rule,"[""核心概念边界""]"
28,5,56,179,0.463,0.592,0.629,0.6,0.485,0.547,rule,"[""异常场景处理"", ""核心概念边界""]"
28,6,148,180,0.549,0.618,0.592,0.592,0.599,0.5859,llm,"[""监控与回滚方案""]"
28,7,146,181,0.642,0.719,0.788,0.802,0.796,0.7317,rule,"[""核心概念边界""]"
28,8,172,182,0.722,0.651,0.75,0.623,0.582,0.6756,rule,"[""监控与回滚方案""]"
29,1,113,183,0.693,0.613,0.705,0.731,0.697,0.6834,rule,"[""监控与回滚方案"", ""性能瓶颈分析""]"
29,2,87,184,0.693,0.696,0.75,0.727,0.629,0.7009,rule,"[""性能瓶颈分析""]"
29,3,187,185,0.619,0.587,0.722,0.687,0.682,0.6487,rule,"[""一致性权衡"", ""生产环境验证""]"
29,4,110,186,0.718,0.643,0.824,0.754,0.766,0.7311,hybrid,"[""生产环境验证""]"
29,5,88,187,0.734,0.657,0.917,0.8,0.829,0.7711,rule,"[""生产环境验证"", ""核心概念边界""]"
29,6,75,188,0.59,0.751,0.77,0.647,0.712,0.6831,rule,"[""性能瓶颈分析"", ""核心概念边界""]"
29,7,94,189,0.684,0.536,0.692,0.689,0.655,0.6484,llm,"[""监控与回滚方案"", ""核心概念边界""]"
29,8,83,190,0.772,0.766,0.877,0.762,0.719,0.78,rule,"[""生产环境验证""]"
30,1,188,191,0.553,0.597,0.607,0.568,0.676,0.5906,hybrid,"[""生产环境验证""]"
30,2,95,192,0.371,0.292,0.496,0.402,0.431,0.3873,rule,"[""监控与回滚方案"", ""异常场景处理""]"
30,3,92,193,0.657,0.599,0.748,0.743,0.732,0.6835,rule,"[""生产环境验证""]"
30,4,96,194,0.625,0.636,0.783,0.632,0.618,0.6544,llm,"[""一致性权衡"", ""生产环境验证""]"
30,5,39,195,0.715,0.756,0.705,0.658,0.725,0.714,rule,"[""生产环境验证""]"
30,6,62,196,0.793,0.736,0.796,0.734,0.775,0.768,rule,"[""性能瓶颈分析""]"
31,1,61,197,0.401,0.368,0.409,0.371,0.424,0.3927,rule,"[""核心概念边界"", ""性能瓶颈分析""]"
31,2,171,198,0.758,0.791,0.626,0.621,0.671,0.7087,rule,"[""异常场景处理""]"
31,3,65,199,0.665,0.597,0.712,0.692,0.596,0.653,rule,"[""监控与回滚方案"", ""核心概念边界""]"
31,4,144,200,0.555,0.558,0.605,0.416,0.479,0.5305,rule,"[""异常场景处理"", ""监控与回滚方案""]"
31,5,180,201,0.623,0.424,0.659,0.528,0.481,0.5488,rule,"[""异常场景处理"", ""监控与回滚方案""]"
31,6,143,202,0.654,0.576,0.702,0.618,0.57,0.6274,rule,"[""核心概念边界""]"
32,1,50,203,0.523,0.348,0.49,0.53,0.446,0.4685,rule,"[""一致性权衡"", ""异常场景处理""]"
32,2,58,204,0.475,0.536,0.589,0.607,0.544,0.5397,hybrid,"[""异常场景处理"", ""性能瓶颈分析"", ""一致性权衡""]"
32,3,188,205,0.494,0.59,0.5,0.504,0.543,0.5252,rule,"[""监控与回滚方案"", ""异常场景处理""]"
32,4,23,206,0.578,0.608,0.537,0.421,0.417,0.5304,rule,"[""监控与回滚方案"", ""性能瓶颈分析"", ""异常场景处理""]"
32,5,43,207,0.435,0.48,0.63,0.438,0.403,0.475,rule,"[""监控与回滚方案"", ""核心概念边界"", ""异常场景处理""]"
33,1,187,208,0.404,0.351,0.42,0.453,0.359,0.3969,rule,"[""一致性权衡"", ""异常场景处理""]"
33,2,11,209,0.715,0.584,0.615,0.672,0.653,0.6525,llm,"[""核心概念边界""]"
33,3,141,210,0.515,0.566,0.478,0.59,0.67,0.5532,rule,"[""监控与回滚方案"", ""核心概念边界"", ""异常场景处理""]"
33,4,1,211,0.655,0.574,0.709,0.673,0.576,0.6385,rule,"[""异常场景处理""]"
33,5,23,212,0.759,0.663,0.807,0.755,0.654,0.7306,rule,"[""异常场景处理"", ""监控与回滚方案""]"
33,6,167,213,0.644,0.626,0.639,0.607,0.607,0.6279,llm,"[""核心概念边界"", ""生产环境验证""]"
33,7,21,214,0.622,0.587,0.617,0.598,0.607,0.607,rule,"[""核心概念边界""]"
34,1,161,215,0.579,0.489,0.512,0.58,0.576,0.5468,rule,"[""性能瓶颈分析"", ""监控与回滚方案"", ""核心概念边界""]"
34,2,143,216,0.622,0.624,0.586,0.661,0.626,0.6235,rule,"[""一致性权衡"", ""生产环境验证""]"
34,3,163,217,0.756,0.695,0.675,0.653,0.656,0.6973,rule,"[""生产环境验证""]"
34,4,149,218,0.634,0.607,0.757,0.736,0.568,0.6573,hybrid,"[""一致性权衡"", ""监控与回滚方案""]"
34,5,152,219,0.646,0.544,0.561,0.62,0.598,0.5975,rule,"[""核心概念边界""]"
35,1,133,220,0.603,0.584,0.582,0.625,0.65,0.6049,rule,"[""一致性权衡""]"
35,2,188,221,0.663,0.661,0.694,0.677,0.627,0.6653,rule,"[""监控与回滚方案""]"
35,3,119,222,0.546,0.542,0.59,0.5,0.472,0.535,rule,"[""生产环境验证"", ""一致性权衡""]"
35,4,129,223,0.664,0.62,0.702,0.721,0.64,0.6669,rule,"[""核心概念边界""]"
35,5,149,224,0.668,0.679,0.735,0.67,0.65,0.6799,rule,"[""监控与回滚方案""]"
35,6,64,225,0.831,0.98,0.91,0.795,0.876,0.8785,rule,[]
36,1,68,226,0.503,0.534,0.558,0.637,0.507,0.5426,llm,"[""性能瓶颈分析"", ""生产环境验证""]"
36,2,90,227,0.419,0.415,0.501,0.402,0.393,0.4258,rule,"[""监控与回滚方案"", ""生产环境验证"", ""核心概念边界""]"
36,3,78,228,0.786,0.584,0.761,0.743,0.77,0.726,hybrid,"[""核心概念边界"", ""生产环境验证""]"
36,4,63,229,0.779,0.746,0.865,0.811,0.757,0.7886,llm,"[""核心概念边界""]"
36,5,105,230,0.746,0.75,0.837,0.862,0.739,0.7813,rule,[]
37,1,176,231,0.656,0.673,0.58,0.761,0.799,0.6834,llm,"[""监控与回滚方案"", ""性能瓶颈分析""]"
37,2,154,232,0.679,0.631,0.66,0.733,0.609,0.6648,rule,"[""生产环境验证"", ""核心概念边界""]"
37,3,150,233,0.466,0.499,0.537,0.516,0.475,0.4953,rule,"[""生产环境验证"", ""核心概念边界"", ""一致性权衡""]"
37,4,164,234,0.71,0.596,0.623,0.74,0.646,0.6657,rule,"[""一致性权衡""]"
37,5,163,235,0.692,0.585,0.642,0.685,0.604,0.6463,rule,"[""核心概念边界""]"
37,6,107,236,0.752,0.61,0.675,0.607,0.615,0.6637,llm,"[""异常场景处理""]"
38,1,110,237,0.597,0.684,0.534,0.495,0.604,0.5897,hybrid,"[""监控与回滚方案""]"
38,2,79,238,0.568,0.572,0.475,0.584,0.524,0.5502,rule,"[""核心概念边界"", ""异常场景处理"", ""监控与回滚方案""]"
38,3,70,239,0.57,0.657,0.58,0.622,0.658,0.6119,rule,"[""性能瓶颈分析""]"
38,4,98,240,0.424,0.489,0.595,0.584,0.44,0.4975,rule,"[""一致性权衡"", ""生产环境验证"", ""核心概念边界""]"
38,5,101,241,0.804,0.703,0.81,0.718,0.636,0.7453,rule,"[""一致性权衡""]"
38,6,49,242,0.645,0.593,0.719,0.635,0.67,0.6471,rule,"[""性能瓶颈分析""]"
