session_id,round,question_id,asked_question_id,correctness,depth,clarity,practicality,tradeoffs,overall_score,provenance,missing_points
7,10,PAPER_Q_0013,52,0.687,0.628,0.622,0.619,0.667,0.651,,"[""transaction consistency detail"", ""edge case handling"", ""monitoring and alerting""]"
7,10,PAPER_Q_0007,53,0.699,0.591,0.639,0.589,0.561,0.628,,"[""edge case handling"", ""failure mode analysis"", ""rollback and canary strategy""]"
7,10,PAPER_Q_0130,54,0.757,0.669,0.638,0.626,0.661,0.676,,"[""rollback and canary strategy"", ""capacity estimation"", ""edge case handling""]"
7,10,PAPER_Q_0124,55,0.553,0.563,0.526,0.519,0.556,0.522,,"[""monitoring and alerting"", ""rollback and canary strategy"", ""capacity estimation""]"
7,10,PAPER_Q_0131,56,0.583,0.541,0.539,0.581,0.513,0.554,,"[""rollback and canary strategy"", ""transaction consistency detail"", ""edge case handling""]"
7,10,PAPER_Q_0133,57,0.583,0.53,0.596,0.606,0.553,0.559,,"[""monitoring and alerting"", ""edge case handling"", ""failure mode analysis""]"
7,10,PAPER_Q_0138,58,0.618,0.536,0.592,0.525,0.571,0.564,,"[""monitoring and alerting"", ""capacity estimation"", ""failure mode analysis""]"
7,10,PAPER_Q_0134,59,0.728,0.583,0.685,0.591,0.578,0.617,,"[""capacity estimation"", ""edge case handling"", ""rollback and canary strategy""]"
8,7,PAPER_Q_0005,60,0.67,0.59,0.578,0.563,0.61,0.603,,"[""capacity estimation"", ""rollback and canary strategy"", ""transaction consistency detail""]"
8,7,PAPER_Q_0033,61,0.665,0.634,0.668,0.67,0.7,0.642,,"[""edge case handling"", ""transaction consistency detail"", ""failure mode analysis""]"
8,7,PAPER_Q_0012,62,0.658,0.54,0.61,0.592,0.56,0.599,,"[""failure mode analysis"", ""capacity estimation"", ""transaction consistency detail""]"
8,7,PAPER_Q_0129,63,0.582,0.557,0.553,0.575,0.523,0.535,,"[""edge case handling"", ""rollback and canary strategy"", ""monitoring and alerting""]"
8,7,PAPER_Q_0019,64,0.609,0.587,0.559,0.547,0.575,0.555,,"[""rollback and canary strategy"", ""edge case handling"", ""transaction consistency detail""]"
8,7,PAPER_Q_0113,65,0.65,0.544,0.578,0.597,0.525,0.569,,"[""capacity estimation"", ""rollback and canary strategy"", ""failure mode analysis""]"
8,7,PAPER_Q_0133,66,0.536,0.489,0.515,0.493,0.53,0.531,,"[""capacity estimation"", ""edge case handling"", ""failure mode analysis""]"
9,11,PAPER_Q_0138,67,0.608,0.505,0.55,0.551,0.509,0.542,,"[""edge case handling"", ""capacity estimation"", ""rollback and canary strategy""]"
9,11,PAPER_Q_0015,68,0.62,0.544,0.606,0.557,0.516,0.591,,"[""rollback and canary strategy"", ""transaction consistency detail"", ""capacity estimation""]"
9,11,PAPER_Q_0134,69,0.728,0.594,0.706,0.658,0.588,0.671,,"[""rollback and canary strategy"", ""monitoring and alerting"", ""edge case handling""]"
9,11,PAPER_Q_0124,70,0.603,0.492,0.565,0.577,0.584,0.55,,"[""transaction consistency detail"", ""edge case handling"", ""failure mode analysis""]"
9,11,PAPER_Q_0012,71,0.668,0.652,0.593,0.617,0.608,0.616,,"[""rollback and canary strategy"", ""edge case handling"", ""capacity estimation""]"
9,11,PAPER_Q_0122,72,0.734,0.634,0.721,0.694,0.647,0.667,,"[""edge case handling"", ""capacity estimation"", ""rollback and canary strategy""]"
9,11,PAPER_Q_0113,73,0.608,0.535,0.476,0.548,0.499,0.549,,"[""monitoring and alerting"", ""failure mode analysis"", ""rollback and canary strategy""]"
9,11,PAPER_Q_0134,74,0.597,0.559,0.64,0.548,0.522,0.56,,"[""monitoring and alerting"", ""edge case handling"", ""transaction consistency detail""]"
9,11,PAPER_Q_0007,75,0.545,0.55,0.542,0.542,0.556,0.558,,"[""rollback and canary strategy"", ""capacity estimation"", ""edge case handling""]"
9,11,PAPER_Q_0133,76,0.586,0.525,0.591,0.567,0.525,0.575,,"[""rollback and canary strategy"", ""edge case handling"", ""failure mode analysis""]"
9,11,PAPER_Q_0122,77,0.631,0.62,0.565,0.629,0.623,0.594,,"[""transaction consistency detail"", ""edge case handling"", ""rollback and canary strategy""]"
10,9,PAPER_Q_0105,78,0.704,0.748,0.689,0.716,0.685,0.725,,"[""capacity estimation"", ""failure mode analysis""]"
10,9,PAPER_Q_0092,79,0.659,0.743,0.652,0.753,0.74,0.69,,"[""failure mode analysis"", ""monitoring and alerting""]"
10,9,PAPER_Q_0083,80,0.692,0.75,0.771,0.728,0.702,0.738,,"[""rollback and canary strategy"", ""transaction consistency detail""]"
10,9,PAPER_Q_0086,81,0.592,0.602,0.656,0.678,0.654,0.606,,"[""rollback and canary strategy"", ""monitoring and alerting"", ""edge case handling""]"
10,9,PAPER_Q_0079,82,0.711,0.743,0.795,0.753,0.716,0.757,,"[""rollback and canary strategy"", ""failure mode analysis""]"
10,9,PAPER_Q_0082,83,0.636,0.649,0.631,0.693,0.68,0.625,,"[""monitoring and alerting"", ""rollback and canary strategy"", ""edge case handling""]"
10,9,PAPER_Q_0080,84,0.755,0.742,0.692,0.803,0.812,0.772,,"[""failure mode analysis"", ""edge case handling""]"
10,9,PAPER_Q_0073,85,0.621,0.604,0.563,0.619,0.618,0.602,,"[""monitoring and alerting"", ""capacity estimation"", ""failure mode analysis""]"
10,9,PAPER_Q_0093,86,0.619,0.698,0.646,0.664,0.648,0.66,,"[""rollback and canary strategy"", ""transaction consistency detail"", ""failure mode analysis""]"
11,9,PAPER_Q_0085,87,0.693,0.801,0.724,0.756,0.753,0.717,,"[""rollback and canary strategy"", ""transaction consistency detail""]"
11,9,PAPER_Q_0072,88,0.69,0.759,0.657,0.679,0.732,0.718,,"[""failure mode analysis"", ""transaction consistency detail""]"
11,9,PAPER_Q_0098,89,0.694,0.758,0.721,0.804,0.772,0.725,,"[""failure mode analysis"", ""capacity estimation""]"
11,9,PAPER_Q_0080,90,0.721,0.768,0.729,0.766,0.802,0.735,,"[""monitoring and alerting"", ""failure mode analysis""]"
11,9,PAPER_Q_0085,91,0.778,0.759,0.707,0.779,0.779,0.734,,"[""rollback and canary strategy"", ""monitoring and alerting""]"
11,9,PAPER_Q_0083,92,0.787,0.764,0.743,0.812,0.78,0.792,,"[""monitoring and alerting"", ""edge case handling""]"
11,9,PAPER_Q_0001,93,0.697,0.673,0.746,0.705,0.657,0.673,,"[""monitoring and alerting"", ""capacity estimation"", ""failure mode analysis""]"
11,9,PAPER_Q_0034,94,0.571,0.664,0.657,0.694,0.669,0.637,,"[""monitoring and alerting"", ""failure mode analysis"", ""rollback and canary strategy""]"
11,9,PAPER_Q_0092,95,0.689,0.721,0.706,0.768,0.769,0.712,,"[""rollback and canary strategy"", ""edge case handling""]"
12,3,PAPER_Q_0131,96,0.717,0.783,0.803,0.769,0.777,0.75,,"[""rollback and canary strategy"", ""edge case handling""]"
12,3,PAPER_Q_0113,97,0.761,0.822,0.803,0.806,0.81,0.791,,"[""failure mode analysis"", ""edge case handling""]"
12,3,PAPER_Q_0008,98,0.664,0.712,0.618,0.653,0.705,0.67,,"[""failure mode analysis"", ""rollback and canary strategy"", ""edge case handling""]"
13,10,PAPER_Q_0008,99,0.607,0.609,0.66,0.651,0.611,0.616,,"[""failure mode analysis"", ""rollback and canary strategy"", ""monitoring and alerting""]"
13,10,PAPER_Q_0136,100,0.721,0.633,0.742,0.72,0.673,0.707,,"[""capacity estimation"", ""failure mode analysis""]"
13,10,PAPER_Q_0022,101,0.694,0.697,0.722,0.685,0.662,0.699,,"[""capacity estimation"", ""failure mode analysis""]"
13,10,PAPER_Q_0093,102,0.601,0.604,0.649,0.617,0.652,0.602,,"[""transaction consistency detail"", ""capacity estimation"", ""monitoring and alerting""]"
13,10,PAPER_Q_0008,103,0.595,0.569,0.59,0.614,0.578,0.583,,"[""edge case handling"", ""transaction consistency detail"", ""capacity estimation""]"
13,10,PAPER_Q_0035,104,0.688,0.713,0.776,0.743,0.743,0.723,,"[""failure mode analysis"", ""rollback and canary strategy""]"
13,10,PAPER_Q_0132,105,0.583,0.635,0.61,0.598,0.627,0.601,,"[""rollback and canary strategy"", ""capacity estimation"", ""monitoring and alerting""]"
13,10,PAPER_Q_0123,106,0.582,0.631,0.601,0.613,0.627,0.578,,"[""failure mode analysis"", ""capacity estimation"", ""edge case handling""]"
13,10,PAPER_Q_0032,107,0.531,0.556,0.57,0.55,0.58,0.541,,"[""capacity estimation"", ""failure mode analysis"", ""monitoring and alerting""]"
13,10,PAPER_Q_0106,108,0.613,0.546,0.631,0.569,0.586,0.584,,"[""transaction consistency detail"", ""monitoring and alerting"", ""edge case handling""]"
14,11,PAPER_Q_0035,109,0.662,0.738,0.72,0.708,0.712,0.69,,"[""capacity estimation"", ""rollback and canary strategy""]"
14,11,PAPER_Q_0034,110,0.621,0.631,0.638,0.593,0.584,0.618,,"[""transaction consistency detail"", ""monitoring and alerting"", ""capacity estimation""]"
14,11,PAPER_Q_0058,111,0.578,0.637,0.655,0.567,0.631,0.588,,"[""failure mode analysis"", ""capacity estimation"", ""monitoring and alerting""]"
14,11,PAPER_Q_0031,112,0.689,0.721,0.745,0.704,0.672,0.712,,"[""edge case handling"", ""transaction consistency detail""]"
14,11,PAPER_Q_0015,113,0.754,0.747,0.832,0.808,0.8,0.778,,"[""failure mode analysis"", ""edge case handling""]"
14,11,PAPER_Q_0001,114,0.626,0.618,0.734,0.706,0.652,0.677,,"[""edge case handling"", ""transaction consistency detail"", ""failure mode analysis""]"
14,11,PAPER_Q_0027,115,0.701,0.641,0.692,0.672,0.698,0.678,,"[""capacity estimation"", ""monitoring and alerting"", ""edge case handling""]"
14,11,PAPER_Q_0031,116,0.665,0.695,0.699,0.671,0.716,0.665,,"[""edge case handling"", ""capacity estimation"", ""rollback and canary strategy""]"
14,11,PAPER_Q_0058,117,0.57,0.568,0.534,0.541,0.583,0.578,,"[""capacity estimation"", ""monitoring and alerting"", ""edge case handling""]"
14,11,PAPER_Q_0029,118,0.587,0.52,0.583,0.6,0.565,0.543,,"[""rollback and canary strategy"", ""failure mode analysis"", ""edge case handling""]"
14,11,PAPER_Q_0106,119,0.575,0.577,0.51,0.539,0.604,0.552,,"[""capacity estimation"", ""rollback and canary strategy"", ""transaction consistency detail""]"
15,8,PAPER_Q_0057,120,0.619,0.714,0.643,0.665,0.646,0.665,,"[""edge case handling"", ""transaction consistency detail"", ""rollback and canary strategy""]"
15,8,PAPER_Q_0010,121,0.605,0.566,0.666,0.63,0.552,0.598,,"[""rollback and canary strategy"", ""capacity estimation"", ""edge case handling""]"
15,8,PAPER_Q_0023,122,0.627,0.559,0.65,0.594,0.6,0.604,,"[""edge case handling"", ""monitoring and alerting"", ""capacity estimation""]"
15,8,PAPER_Q_0008,123,0.621,0.59,0.649,0.675,0.637,0.629,,"[""monitoring and alerting"", ""transaction consistency detail"", ""rollback and canary strategy""]"
15,8,PAPER_Q_0120,124,0.656,0.66,0.73,0.698,0.712,0.679,,"[""transaction consistency detail"", ""edge case handling"", ""failure mode analysis""]"
15,8,PAPER_Q_0001,125,0.695,0.726,0.663,0.732,0.766,0.72,,"[""edge case handling"", ""transaction consistency detail""]"
15,8,PAPER_Q_0057,126,0.679,0.707,0.704,0.676,0.68,0.694,,"[""monitoring and alerting"", ""edge case handling""]"
15,8,PAPER_Q_0136,127,0.651,0.636,0.721,0.727,0.708,0.679,,"[""edge case handling"", ""transaction consistency detail"", ""capacity estimation""]"
16,3,PAPER_Q_0135,128,0.562,0.553,0.469,0.52,0.529,0.538,,"[""transaction consistency detail"", ""failure mode analysis"", ""monitoring and alerting""]"
16,3,PAPER_Q_0128,129,0.739,0.701,0.713,0.755,0.742,0.731,,"[""capacity estimation"", ""rollback and canary strategy""]"
16,3,PAPER_Q_0113,130,0.715,0.762,0.75,0.723,0.753,0.758,,"[""rollback and canary strategy"", ""failure mode analysis""]"
17,8,PAPER_Q_0047,131,0.635,0.661,0.657,0.691,0.682,0.644,,"[""capacity estimation"", ""monitoring and alerting"", ""failure mode analysis""]"
17,8,PAPER_Q_0064,132,0.62,0.59,0.574,0.559,0.586,0.602,,"[""rollback and canary strategy"", ""edge case handling"", ""monitoring and alerting""]"
17,8,PAPER_Q_0067,133,0.678,0.627,0.633,0.678,0.67,0.653,,"[""rollback and canary strategy"", ""monitoring and alerting"", ""capacity estimation""]"
17,8,PAPER_Q_0043,134,0.726,0.745,0.709,0.71,0.768,0.72,,"[""edge case handling"", ""failure mode analysis""]"
17,8,PAPER_Q_0022,135,0.636,0.624,0.656,0.675,0.609,0.628,,"[""capacity estimation"", ""edge case handling"", ""failure mode analysis""]"
17,8,PAPER_Q_0070,136,0.578,0.602,0.485,0.539,0.586,0.533,,"[""monitoring and alerting"", ""failure mode analysis"", ""edge case handling""]"
17,8,PAPER_Q_0053,137,0.65,0.721,0.653,0.686,0.749,0.681,,"[""capacity estimation"", ""rollback and canary strategy""]"
17,8,PAPER_Q_0047,138,0.663,0.694,0.617,0.66,0.654,0.651,,"[""capacity estimation"", ""failure mode analysis"", ""monitoring and alerting""]"
18,11,PAPER_Q_0022,139,0.581,0.612,0.639,0.605,0.611,0.621,,"[""failure mode analysis"", ""transaction consistency detail"", ""monitoring and alerting""]"
18,11,PAPER_Q_0048,140,0.604,0.648,0.605,0.602,0.614,0.598,,"[""edge case handling"", ""monitoring and alerting"", ""transaction consistency detail""]"
18,11,PAPER_Q_0068,141,0.677,0.676,0.644,0.68,0.633,0.664,,"[""edge case handling"", ""transaction consistency detail"", ""monitoring and alerting""]"
18,11,PAPER_Q_0049,142,0.7,0.684,0.703,0.751,0.766,0.689,,"[""capacity estimation"", ""monitoring and alerting""]"
18,11,PAPER_Q_0037,143,0.742,0.652,0.679,0.673,0.685,0.677,,"[""edge case handling"", ""capacity estimation"", ""transaction consistency detail""]"
18,11,PAPER_Q_0057,144,0.62,0.636,0.663,0.706,0.655,0.626,,"[""failure mode analysis"", ""capacity estimation"", ""transaction consistency detail""]"
18,11,PAPER_Q_0038,145,0.669,0.612,0.616,0.666,0.655,0.629,,"[""failure mode analysis"", ""rollback and canary strategy"", ""capacity estimation""]"
18,11,PAPER_Q_0048,146,0.645,0.661,0.617,0.711,0.725,0.655,,"[""edge case handling"", ""rollback and canary strategy"", ""transaction consistency detail""]"
18,11,PAPER_Q_0049,147,0.607,0.636,0.583,0.705,0.672,0.611,,"[""transaction consistency detail"", ""rollback and canary strategy"", ""capacity estimation""]"
18,11,PAPER_Q_0053,148,0.608,0.563,0.598,0.564,0.587,0.605,,"[""rollback and canary strategy"", ""transaction consistency detail"", ""capacity estimation""]"
18,11,PAPER_Q_0027,149,0.638,0.594,0.559,0.597,0.623,0.586,,"[""rollback and canary strategy"", ""capacity estimation"", ""monitoring and alerting""]"
19,8,PAPER_Q_0057,150,0.635,0.568,0.567,0.542,0.602,0.603,,"[""failure mode analysis"", ""monitoring and alerting"", ""capacity estimation""]"
19,8,PAPER_Q_0058,151,0.595,0.517,0.472,0.527,0.553,0.51,,"[""transaction consistency detail"", ""rollback and canary strategy"", ""monitoring and alerting""]"
19,8,PAPER_Q_0027,152,0.592,0.533,0.563,0.523,0.573,0.574,,"[""monitoring and alerting"", ""failure mode analysis"", ""capacity estimation""]"
19,8,PAPER_Q_0133,153,0.617,0.604,0.653,0.644,0.629,0.636,,"[""rollback and canary strategy"", ""capacity estimation"", ""transaction consistency detail""]"
19,8,PAPER_Q_0128,154,0.711,0.602,0.617,0.585,0.599,0.646,,"[""capacity estimation"", ""rollback and canary strategy"", ""transaction consistency detail""]"
19,8,PAPER_Q_0015,155,0.689,0.599,0.666,0.651,0.575,0.636,,"[""failure mode analysis"", ""edge case handling"", ""monitoring and alerting""]"
19,8,PAPER_Q_0021,156,0.673,0.563,0.571,0.572,0.612,0.616,,"[""rollback and canary strategy"", ""monitoring and alerting"", ""failure mode analysis""]"
19,8,PAPER_Q_0001,157,0.592,0.559,0.565,0.55,0.549,0.578,,"[""edge case handling"", ""transaction consistency detail"", ""capacity estimation""]"
20,9,PAPER_Q_0108,158,0.526,0.444,0.493,0.527,0.437,0.499,,"[""monitoring and alerting"", ""failure mode analysis"", ""rollback and canary strategy""]"
20,9,PAPER_Q_0110,159,0.59,0.524,0.534,0.506,0.486,0.548,,"[""transaction consistency detail"", ""failure mode analysis"", ""rollback and canary strategy""]"
20,9,PAPER_Q_0015,160,0.761,0.73,0.71,0.67,0.672,0.716,,"[""capacity estimation"", ""transaction consistency detail""]"
20,9,PAPER_Q_0013,161,0.704,0.587,0.584,0.632,0.606,0.617,,"[""rollback and canary strategy"", ""transaction consistency detail"", ""edge case handling""]"
20,9,PAPER_Q_0131,162,0.742,0.633,0.688,0.656,0.601,0.692,,"[""capacity estimation"", ""rollback and canary strategy""]"
20,9,PAPER_Q_0113,163,0.73,0.681,0.616,0.617,0.644,0.657,,"[""transaction consistency detail"", ""failure mode analysis"", ""rollback and canary strategy""]"
20,9,PAPER_Q_0007,164,0.762,0.619,0.669,0.632,0.599,0.661,,"[""capacity estimation"", ""transaction consistency detail"", ""edge case handling""]"
20,9,PAPER_Q_0126,165,0.66,0.524,0.551,0.616,0.599,0.581,,"[""monitoring and alerting"", ""transaction consistency detail"", ""capacity estimation""]"
20,9,PAPER_Q_0124,166,0.615,0.596,0.646,0.62,0.563,0.599,,"[""transaction consistency detail"", ""rollback and canary strategy"", ""monitoring and alerting""]"
21,8,PAPER_Q_0139,167,0.516,0.446,0.497,0.552,0.486,0.497,,"[""monitoring and alerting"", ""rollback and canary strategy"", ""failure mode analysis""]"
21,8,PAPER_Q_0133,168,0.701,0.622,0.68,0.69,0.698,0.695,,"[""transaction consistency detail"", ""failure mode analysis""]"
21,8,PAPER_Q_0129,169,0.676,0.56,0.596,0.63,0.578,0.588,,"[""failure mode analysis"", ""edge case handling"", ""transaction consistency detail""]"
21,8,PAPER_Q_0001,170,0.531,0.555,0.492,0.564,0.581,0.556,,"[""monitoring and alerting"", ""edge case handling"", ""capacity estimation""]"
21,8,PAPER_Q_0057,171,0.694,0.578,0.659,0.633,0.638,0.656,,"[""edge case handling"", ""monitoring and alerting"", ""failure mode analysis""]"
21,8,PAPER_Q_0133,172,0.722,0.706,0.682,0.682,0.674,0.672,,"[""transaction consistency detail"", ""failure mode analysis"", ""capacity estimation""]"
21,8,PAPER_Q_0015,173,0.638,0.605,0.668,0.621,0.593,0.605,,"[""failure mode analysis"", ""edge case handling"", ""rollback and canary strategy""]"
21,8,PAPER_Q_0031,174,0.59,0.531,0.559,0.569,0.554,0.554,,"[""failure mode analysis"", ""rollback and canary strategy"", ""monitoring and alerting""]"
22,10,PAPER_Q_0057,175,0.753,0.763,0.653,0.76,0.807,0.743,,"[""monitoring and alerting"", ""transaction consistency detail""]"
22,10,PAPER_Q_0047,176,0.726,0.73,0.661,0.743,0.735,0.705,,"[""failure mode analysis"", ""monitoring and alerting""]"
22,10,PAPER_Q_0058,177,0.6,0.542,0.588,0.65,0.644,0.582,,"[""monitoring and alerting"", ""failure mode analysis"", ""edge case handling""]"
22,10,PAPER_Q_0069,178,0.661,0.617,0.593,0.657,0.673,0.635,,"[""capacity estimation"", ""failure mode analysis"", ""rollback and canary strategy""]"
22,10,PAPER_Q_0022,179,0.679,0.727,0.625,0.679,0.692,0.676,,"[""monitoring and alerting"", ""failure mode analysis"", ""transaction consistency detail""]"
22,10,PAPER_Q_0038,180,0.698,0.736,0.65,0.669,0.73,0.693,,"[""rollback and canary strategy"", ""edge case handling""]"
22,10,PAPER_Q_0057,181,0.664,0.715,0.634,0.723,0.676,0.692,,"[""monitoring and alerting"", ""edge case handling""]"
22,10,PAPER_Q_0027,182,0.708,0.696,0.732,0.712,0.66,0.717,,"[""transaction consistency detail"", ""edge case handling""]"
22,10,PAPER_Q_0068,183,0.718,0.766,0.715,0.696,0.728,0.724,,"[""edge case handling"", ""rollback and canary strategy""]"
